job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
chăm sóc khách hàng sàn thương mại điện tử,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"tổng đài viên, khách hàng, cskh, nhân viên chăm sóc khách hàng, nhân viên trực tổng đài, customer services, thương mại điện tử, chăm sóc khách hàng sàn thương mại điện tử, nhân viên cskh","thương mại điện tử, tư vấn, dịch vụ khách hàng","7,5 tr - 9 tr vnd",7.5,9.0,vnd,2026-01-16T22:07:23.000Z,JOB_CREATED
116175 quality control manager ‐ metal processing,nhân viên chính thức,quản lý,long an,5 - 7 năm,"trưởng phòng quản lý chất lượng, trưởng bộ phận kcs, qc nhà máy, qa, qc director, qc, qc manager, quality control manager ‐ metal processing, giám đốc qa, quality management director, quality management manager, trưởng phòng qa, qc division head, trưởng bộ phận quản lý chất lượng","vận hành sản xuất, sản xuất",20 tr - 30 tr vnd,20.0,30.0,vnd,2026-01-16T22:07:24.000Z,JOB_CREATED
kỹ thuật viên sửa xe máy – gia hoa lagi,nhân viên chính thức,nhân viên,bình thuận,trên 1 năm,"","bảo trì, sửa chữa",7 tr - 14 tr vnd,7.0,14.0,vnd,2026-01-16T22:07:26.000Z,JOB_CREATED
content,nhân viên chính thức,nhân viên,hà nội,1 - 5 năm,"","vận hành sản xuất, sản xuất",10 tr - 14 tr vnd,10.0,14.0,vnd,2026-01-16T22:07:28.000Z,JOB_CREATED
giúp việc gia đình ở cầu diễn,nhân viên chính thức,nhân viên,hà nội,2 - 7 năm,"",lao động phổ thông,"6,5 tr - 9 tr vnd",6.5,9.0,vnd,2026-01-16T22:07:30.000Z,JOB_CREATED
kỹ sư qs,nhân viên chính thức,nhân viên,hồ chí minh,trên 2 năm,"","điện, mạng, điện tử, điện lạnh, điện công nghiệp, cntt - phần cứng",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:07:32.000Z,JOB_CREATED
nhân viên điều độ,nhân viên chính thức,nhân viên,hồ chí minh,1 - 5 năm,"","giao nhận, vận chuyển, dịch vụ khách hàng, kho vận",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:07:34.000Z,JOB_CREATED
trưởng nhóm marketing,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,trên 2 năm,"marketing executive, nhân viên marketing, marketer, chuyên viên marketing","marketing, truyền thông, đối ngoại, quảng cáo, kinh doanh, tiếp thị, bán hàng",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:07:35.000Z,JOB_CREATED
trưởng phòng nghiên cứu và phát triển sản phẩm,nhân viên chính thức,quản lý,hà nội,2 - 5 năm,"trưởng phòng nghiên cứu và phát triển sản phẩm, head of office","y tế, thẩm mỹ, chăm sóc cá nhân, làm đẹp, kinh doanh, bán hàng, chăm sóc sức khỏe, hàng gia dụng",30 tr - 45 tr vnd,30.0,45.0,vnd,2026-01-16T22:07:36.000Z,JOB_CREATED
trợ lý cửa hàng burger king,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,1 - 2 năm,"trưởng, trợ lý cửa hàng burger king","khách sạn, nhà hàng",9 tr - 11 tr vnd,9.0,11.0,vnd,2026-01-16T22:07:37.000Z,JOB_CREATED
quản lý cửa hàng tại cần thơ,nhân viên chính thức,quản lý,cần thơ,2 - 5 năm,"quản lý cửa hàng, quản lý cửa hàng mỹ phẩm, quản lý cửa hàng thời trang cao cấp, cửa hàng trưởng","dệt may, da giày, thời trang",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:07:39.000Z,JOB_CREATED
nhân viên bảo trì điện lạnh,nhân viên chính thức,nhân viên,bình phước,không yêu cầu,"kỹ thuật viên bảo trì, kỹ sư bảo dưỡng, nhân viên bảo dưỡng, chuyên viên bảo trì, nhân viên bảo trì điện lạnh, kỹ thuật bảo trì, maintenance man, chuyên viên bảo dưỡng, nhân viên kỹ thuật bảo trì, kỹ sư bảo trì, nhân viên sửa máy","điện, sửa chữa, cơ khí, bảo trì, điện tử, điện lạnh, tự động hóa, điện công nghiệp, ô tô",15 tr - 17 tr vnd,15.0,17.0,vnd,2026-01-16T22:07:40.000Z,JOB_CREATED
kế toán trưởng,nhân viên chính thức,quản lý,hà nội,5 - 10 năm,"trưởng phòng kế toán, accounting manager, kế toán trưởng mảng thương mại xuất nhập khẩu, chief accountant","kế toán, kiểm toán, xuất nhập khẩu",lên đến 40 tr vnd,0.0,40.0,vnd,2026-01-16T22:07:41.000Z,JOB_CREATED
chuyên viên tư vấn bảo hiểm,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"insurance counselor, insurance consultant, nhân viên tư vấn vay tiêu dùng, chuyên viên tư vấn bảo hiểm củ chi hồ chí minh, tư vấn viên bảo hiểm, nhân viên tư vấn bảo hiểm","kinh doanh, bán hàng, bảo hiểm, ngân hàng",15 tr - 25 tr vnd,15.0,25.0,vnd,2026-01-16T22:07:43.000Z,JOB_CREATED
nhân viên telesale cskh sản phầm điện tử,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"nhân viên chăm sóc khách hàng, salesman, nhân viên kinh doanh, telesales","kinh doanh, tiếp thị, marketing, bán hàng",7 tr - 15 tr vnd,7.0,15.0,vnd,2026-01-16T22:07:45.000Z,JOB_CREATED
kế toán trưởng,nhân viên chính thức,"trưởng nhóm , giám sát",hà nam,trên 5 năm,"kế toán trưởng, accounting manager, chief accountant, trưởng phòng kế toán","đầu tư, kế toán, kiểm toán, tài chính",lên đến 25 tr vnd,0.0,25.0,vnd,2026-01-16T22:07:46.000Z,JOB_CREATED
trưởng nhóm kinh doanh nội thất,nhân viên chính thức,nhân viên,cần thơ,1 - 5 năm,"nhân viên phòng, trưởng nhóm kinh doanh nội thất, chăm sóc khách hàng","bán sỉ, bán lẻ, nội ngoại thất, kinh doanh, bán hàng",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:07:47.000Z,JOB_CREATED
partner success lead melive,nhân viên chính thức,"trưởng nhóm , giám sát",hồ chí minh,3 - 5 năm,"partnership manager, content creator, ecom, creator (koc, affiliate, mcn tiktok shop, kol)","marketing, ngành khác, chăm sóc cá nhân, tiếp thị, hàng gia dụng",20 tr - 30 tr vnd,20.0,30.0,vnd,2026-01-16T22:07:49.000Z,JOB_CREATED
nhân viên kinh doanh tiếp thị,nhân viên chính thức,nhân viên,khánh hòa,1 - 2 năm,"","marketing, bán sỉ, bán lẻ, kinh doanh, tiếp thị, bán hàng",8 tr - 12 tr vnd,8.0,12.0,vnd,2026-01-16T22:07:51.000Z,JOB_CREATED
trưởng nhóm kế hoạch sản xuất,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,3 - 7 năm,"dệt may, chuyên viên kế hoạch, may mặc, chuyên viên sản xuất, nhân viên kế toán, sản xuất, mẹ và bé, nhân viên kế hoạch","kiểm toán, kế toán, vận hành sản xuất, sản xuất",16 tr - 17 tr vnd,16.0,17.0,vnd,2026-01-16T22:07:52.000Z,JOB_CREATED
giáo viên tiếng anh,nhân viên chính thức,nhân viên,bà rịa  vũng tàu,1 - 2 năm,"english teacher, teacher of english, english teaching, giáo viên tiếng anh bees, teens, kids, giáo viên anh ngữ, ielts, giáo viên anh văn","mới tốt nghiệp, thực tập, biên phiên dịch, giáo dục, đào tạo",9 tr - 12 tr vnd,9.0,12.0,vnd,2026-01-16T22:07:53.000Z,JOB_CREATED
chuyên viên tư vấn thẩm mỹ,nhân viên chính thức,nhân viên,hồ chí minh,trên 1 năm,"consultant executive, chuyên viên tư vấn thẩm mỹ đi làm ngay, nhân viên tư vấn, tư vấn viên, consultant, counsellor","y tế, thẩm mỹ, làm đẹp, kinh doanh, bán hàng, dịch vụ khách hàng, chăm sóc sức khỏe",15 tr - 30 tr vnd,15.0,30.0,vnd,2026-01-16T22:07:54.000Z,JOB_CREATED
nhân viên nhập khẩu và chứng từ hải quan kiêm admin,nhân viên chính thức,nhân viên,hồ chí minh,3 - 5 năm,"nhân viên chứng từ xuất nhập khẩu, admin executive, nhân viên hải quan, nhân viên hành chính","thư ký, hành chính, giao nhận, vận chuyển, xuất nhập khẩu, kho vận",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:07:55.000Z,JOB_CREATED
quản lý kinh doanh kênh etc dịch vụ miền bắc,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,1 - 3 năm,"","y tế, dược phẩm, thẩm mỹ, hóa mỹ phẩm, làm đẹp, kinh doanh, bán hàng, chăm sóc sức khỏe",30 tr - 50 tr vnd,30.0,50.0,vnd,2026-01-16T22:07:57.000Z,JOB_CREATED
quản lý bếp ăn công nghiệp tại an phước long thành đồng nai,nhân viên chính thức,quản lý,đồng nai,2 - 5 năm,"chef, đầu bếp, bếp trưởng, quản lý bếp ăn công nghiệp tại an phước long thành đồng nai","thực phẩm & đồ uống, dinh dưỡng, nhà hàng, công nghệ thực phẩm, khách sạn",12 tr - 18 tr vnd,12.0,18.0,vnd,2026-01-16T22:07:59.000Z,JOB_CREATED
