job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
merchandiser trim,nhân viên chính thức,nhân viên,hồ chí minh,lên đến 5 năm,"merchandiser, trim purchaser","dệt may, vật tư, da giày, thu mua, thời trang",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:06:18.000Z,JOB_CREATED
quản lý cửa hàng tokyolife – cẩm giàng hải dương,nhân viên chính thức,quản lý,hải dương,trên 1 năm,"","bán sỉ, bán lẻ",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:06:20.000Z,JOB_CREATED
chuyên viên tập sự ub phòng giao dịch lê chân cn nam hải phòng,thực tập,"sinh viên, thực tập sinh",hải phòng,không yêu cầu,chuyên viên tập sự ub cn. nam hải phòng cnlt.,"ngân hàng, đầu tư, kinh doanh, bán hàng, tài chính","2,5 tr - 15 tr vnd",2.5,15.0,vnd,2026-01-16T22:06:22.000Z,JOB_CREATED
chuyên viên tư vấn tài chính kênh liên doanh ngân hàng bidv,nhân viên chính thức,nhân viên,quảng trị,1 - 3 năm,"nhân viên tư vấn, ngân hàng, tư vấn, tư vấn viên, bảo hiểm, nhân viên kinh doanh, chăm sóc khách hàng, giao dịch viên, tư vấn tài chính","tư vấn, bán hàng, kinh doanh, ngân hàng",8 tr - 20 tr vnd,8.0,20.0,vnd,2026-01-16T22:06:24.000Z,JOB_CREATED
kỹ sư qs m e đà nẵng hà tĩnh,nhân viên chính thức,nhân viên,hà tĩnh,3 - 5 năm,"hồ sơ, kỹ sư m&e, qs m&e, qs engineer, kỹ sư qs m&e đà nẵng hà tĩnh, bóc khối lượng","điện, xây dựng, điện tử, điện lạnh, điện công nghiệp",18 tr - 25 tr vnd,18.0,25.0,vnd,2026-01-16T22:06:26.000Z,JOB_CREATED
nhân viên media,nhân viên chính thức,nhân viên,hà nội,1 - 3 năm,"","truyền hình, marketing, biên tập, nghệ thuật, thiết kế, mỹ thuật, tiếp thị, báo chí",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:06:28.000Z,JOB_CREATED
nhân viên video editor,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,"nhân viên video editor, nhân viên biên tập tin nội bộ, biên tập viên","nghệ thuật, dược phẩm, thiết kế, hóa mỹ phẩm, mỹ thuật",trên 13 tr vnd,13.0,0.0,vnd,2026-01-16T22:06:29.000Z,JOB_CREATED
bác sĩ da liễu hệ thống,nhân viên chính thức,nhân viên,hồ chí minh,6 - 8 năm,"bác sĩ da liễu hệ thống thu nhập upto m, tháng, dermatologist","thẩm mỹ, y tế, chăm sóc sức khỏe, làm đẹp",200 tr - 250 tr vnd,200.0,250.0,vnd,2026-01-16T22:06:30.000Z,JOB_CREATED
academic coach online center,nhân viên chính thức,nhân viên,hồ chí minh,trên 1 năm,"teacher, chăm sóc học viên, customer care staff, cố vấn học tập, coach, teaching, customer services, teaching assistant","tư vấn, kinh doanh, giáo dục, bán hàng, đào tạo",10 tr - 12 tr vnd,10.0,12.0,vnd,2026-01-16T22:06:31.000Z,JOB_CREATED
trưởng ban kiểm soát làm việc tại nam từ liêm hà nội,nhân viên chính thức,quản lý,hà nội,3 - 5 năm,"","kế toán, kiểm toán",25 tr - 35 tr vnd,25.0,35.0,vnd,2026-01-16T22:06:33.000Z,JOB_CREATED
trưởng phòng marketing,nhân viên chính thức,quản lý,hồ chí minh,2 - 5 năm,"giám đốc marketing, makerting manager, makerting director, marketing supervisor, trưởng phòng marketing lương cứng tối thiểu .. vnđ, giám sát tiếp thị, giám đốc truyền thông & tiếp thị, giám đốc tiếp thị","truyền hình, marketing, biên tập, truyền thông, đối ngoại, quảng cáo, tiếp thị, báo chí",20 tr - 35 tr vnd,20.0,35.0,vnd,2026-01-16T22:06:34.000Z,JOB_CREATED
chuyên viên cao cấp marketing dự án bđs,nhân viên chính thức,nhân viên,hà nội,trên 3 năm,"bất động sản, real estate, chuyên viên cao cấp marketing dự án bđs, nhân viên kinh doanh bất động sản, chuyên viên kinh doanh bất động sản, real estate salesperson","marketing, truyền thông, bất động sản, đối ngoại, quảng cáo, tiếp thị",20 tr - 30 tr vnd,20.0,30.0,vnd,2026-01-16T22:06:35.000Z,JOB_CREATED
nhân viên điều độ sản xuất,nhân viên chính thức,nhân viên,hà nội,chưa có kinh nghiệm,"nhân viên quản lý sản xuất, điều độ vận chuyển, kế hoạch vật tư, nhân viên iso, nhân viên kiểm đếm, kế hoạch sản xuất, nhân viên thống kê sản xuất","kế toán, quản lý điều hành, kiểm toán, vận hành sản xuất, sản xuất","9,5 tr - 10 tr vnd",9.5,10.0,vnd,2026-01-16T22:06:38.000Z,JOB_CREATED
chuyên viên phát triển kinh doanh ngành nội thất,nhân viên chính thức,nhân viên,hồ chí minh,trên 2 năm,"business development officer, biz development executive, business development specialist, business development staff, business development chuyên viên phát triển kinh doanh ngành nội thất, chuyên viên phát triển, nhân viên phát triển kinh doanh, business development executive","kinh doanh, bán hàng, nội ngoại thất, xây dựng",18 tr - 25 tr vnd,18.0,25.0,vnd,2026-01-16T22:06:40.000Z,JOB_CREATED
nhân viên phát triển thị trường,nhân viên chính thức,nhân viên,gia lai,không yêu cầu,nhân viên phát triển thị trường,"thực phẩm & đồ uống, bán sỉ, bán lẻ, kinh doanh, bán hàng",8 tr - 10 tr vnd,8.0,10.0,vnd,2026-01-16T22:06:42.000Z,JOB_CREATED
chuyên viên tư vấn giáo dục ocean edu sơn tây lương từ 13 triệu tháng,nhân viên chính thức,nhân viên,hà nội,lên đến 1 năm,"tháng, chuyên viên tư vấn giáo dục ocean edu sơn tây lương từ triệu","kinh doanh, giáo dục, bán hàng, dịch vụ khách hàng, đào tạo",13 tr - 15 tr vnd,13.0,15.0,vnd,2026-01-16T22:06:43.000Z,JOB_CREATED
chuyên viên tư vấn giáo dục ocean edu vân đình thu nhập từ 13 triệu tháng phỏng vấn đi làm ngay,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"chuyên viên tư vấn giáo dục ocean edu vân đình thu nhập từ triệu, tháng phỏng vấn đi làm ngay","kinh doanh, bán hàng, tư vấn, dịch vụ khách hàng",13 tr - 14 tr vnd,13.0,14.0,vnd,2026-01-16T22:06:45.000Z,JOB_CREATED
nhân viên kế toán,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"accountant, nhân viên kế toán","kế toán, mới tốt nghiệp, ngân hàng, thực tập, kiểm toán",7 tr - 10 tr vnd,7.0,10.0,vnd,2026-01-16T22:06:46.000Z,JOB_CREATED
chuyên viên nhân sự tiền lương,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,"c&b supervisor, chuyên viên nhân sự tiền lương, chuyên viên kế toán, c&b manager, nhân viên hành chánh nhân sự, nhân viên kế toán","kế toán, đầu tư, kiểm toán, nhân sự, tài chính",14 tr - 18 tr vnd,14.0,18.0,vnd,2026-01-16T22:06:46.000Z,JOB_CREATED
customer service chăm sóc khách hàng bằng tiếng anh cho sản phẩm viễn thông của mỹ,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,customer service chăm sóc khách hàng bằng tiếng anh cho sản phẩm viễn thông của mỹ không yêu cầu chứng chỉ,"bưu chính viễn thông, bảo hiểm, biên phiên dịch",12 tr - 14 tr vnd,12.0,14.0,vnd,2026-01-16T22:06:49.000Z,JOB_CREATED
chủ quản thu mua – biết tiếng trung,nhân viên chính thức,nhân viên,bình dương,2 - 3 năm,"manager, procurement officer, nhân viên thu mua, purchasing staff, supervisor, purchasing officer, executive, nhân viên phòng thu mua, purchasing","thu mua, vật tư",20 tr - 25 tr vnd,20.0,25.0,vnd,2026-01-16T22:06:50.000Z,JOB_CREATED
chuyên viên tư vấn giáo dục ocean edu quảng yên thu nhập từ 13 triệu tháng phỏng vấn đi làm ngay,nhân viên chính thức,nhân viên,quảng ninh,không yêu cầu,"tháng phỏng vấn đi làm ngay, chuyên viên tư vấn giáo dục ocean edu quảng yên thu nhập từ triệu","kinh doanh, bán hàng, tư vấn, dịch vụ khách hàng",13 tr - 14 tr vnd,13.0,14.0,vnd,2026-01-16T22:06:52.000Z,JOB_CREATED
115952 japanese speaking assembly manager manufacturing,nhân viên chính thức,quản lý,vĩnh phúc,trên 3 năm,"assembly department manager, japanese speaking assembly manager manufacturing, electrical assembly department manager, trưởng phòng lắp ráp, quản lý lắp ráp, trưởng bộ phận lắp ráp, assembly manager","cơ khí, tự động hóa, ô tô, vận hành sản xuất, sản xuất","29,3 tr - 43,7 tr vnd",29.3,43.7,vnd,2026-01-16T22:06:54.000Z,JOB_CREATED
tư vấn viên thẩm mỹ,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,"consultant executive, nhân viên tư vấn, chuyên viên tư vấn, consultant, tư vấn viên thẩm mỹ, counsellor","y tế, tư vấn, thẩm mỹ, làm đẹp, dịch vụ khách hàng, chăm sóc sức khỏe",50 tr - 150 tr vnd,50.0,150.0,vnd,2026-01-16T22:06:54.000Z,JOB_CREATED
trưởng phòng hành chính nhân sự,nhân viên chính thức,quản lý,bà rịa  vũng tàu,2 - 3 năm,"trưởng phòng hành chính nhân sự, trưởng phòng hành chánh nhân sự, human resource and administration manager, hr administration manager, hr administration director, trưởng phòng hcns, hr & admin manager, hr & admin director",nhân sự,20 tr - 28 tr vnd,20.0,28.0,vnd,2026-01-16T22:06:56.000Z,JOB_CREATED
nhân viên telesale,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,"nhân viên telesale, nhân viên kinh doanh, telesales","bán sỉ, bán lẻ, kinh doanh, giáo dục, bán hàng, đào tạo",6 tr - 15 tr vnd,6.0,15.0,vnd,2026-01-16T22:06:57.000Z,JOB_CREATED
chuyên viên đào tạo up 18m,nhân viên chính thức,nhân viên,hà nội,trên 3 năm,"teacher, chuyên viên đào tạo up m, trainer, giáo viên, huấn luyện viên, chuyên viên huấn luyện","dệt may, da giày, nhân sự, giáo dục, đào tạo, thời trang",16 tr - 18 tr vnd,16.0,18.0,vnd,2026-01-16T22:06:58.000Z,JOB_CREATED
