job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
giám sát dự án,nhân viên chính thức,nhân viên,hồ chí minh,2 - 4 năm,"mechanical supervisor, kỹ sư cơ khí, giám sát dự án, project engineer, mechanical engineer, kỹ sư dự án, kỹ sư giám sát dự án, project executive","ô tô, cơ khí, tự động hóa",12 tr - 16 tr vnd,12.0,16.0,vnd,2026-01-16T22:05:15.000Z,JOB_CREATED
thợ cắt nhôm,nhân viên chính thức,"sinh viên, thực tập sinh",bình dương,không yêu cầu,"","ô tô, lao động phổ thông, cơ khí, tự động hóa",8 tr - 10 tr vnd,8.0,10.0,vnd,2026-01-16T22:05:18.000Z,JOB_CREATED
phiên dịch hiện trường tiếng trung,nhân viên chính thức,nhân viên,bình dương,không yêu cầu,"nhân viên phiên dịch, phiên dịch hiện trường tiếng trung, phiên dịch viên, biên phiên dịch","dệt may, da giày, biên phiên dịch, vận hành sản xuất, sản xuất, thời trang",9 tr - 15 tr vnd,9.0,15.0,vnd,2026-01-16T22:05:20.000Z,JOB_CREATED
r d product marketing specialist executive,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,"marketing executive, makeup, offline marketing executive, cosmetic, product concept, executive, research, skincare, r&d product marketing specialist","marketing, dược phẩm, hóa mỹ phẩm, tiếp thị trực tuyến, tiếp thị",8 tr - 17 tr vnd,8.0,17.0,vnd,2026-01-16T22:05:21.000Z,JOB_CREATED
nhân viên tư vấn trả góp,nhân viên chính thức,nhân viên,long an,không yêu cầu,"consultant executive, chuyên viên tư vấn, tư vấn viên, consultant, counsellor","tư vấn, bán sỉ, bán lẻ, kinh doanh, bán hàng",8 tr - 15 tr vnd,8.0,15.0,vnd,2026-01-16T22:05:23.000Z,JOB_CREATED
nhân viên kinh doanh,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"sales executive, nhân viên phòng kinh doanh, chuyên viên kinh doanh, đại diện bán hàng, đại diện kinh doanh, sales engineer, sales dept, nhân viên kinh doanh, telesales, salesman, nhân viên bán hàng","điện, kinh doanh, xây dựng, điện tử, điện lạnh, điện công nghiệp, bán hàng","300 - 1,000 usd",7.5,25.0,usd,2026-01-16T22:05:24.000Z,JOB_CREATED
nhân viên bán hàng kênh truyền thống,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"tư vấn kinh doanh, nhân viên bán hàng kênh truyền thống hồ chí minh, đại diện bán hàng, đại diện kinh doanh, tư vấn bán hàng, sales representative, nvkd, nhân viên kinh doanh, salesman, bán hàng","marketing, bán sỉ, bán lẻ, kinh doanh, tiếp thị, bán hàng","9,2 tr - 12,5 tr vnd",9.2,12.5,vnd,2026-01-16T22:05:25.000Z,JOB_CREATED
nhân viên quay dựng,nhân viên chính thức,nhân viên,hà nội,1 - 2 năm,"biên tập viên, nhân viên biên tập tin nội bộ, nhân viên quay dựng video editor","thiết kế, thực phẩm & đồ uống, nghệ thuật, mỹ thuật",12 tr - 15 tr vnd,12.0,15.0,vnd,2026-01-16T22:05:26.000Z,JOB_CREATED
nhân viên kiểm duyệt nội dung không yêu cầu kinh nghiệm làm tại tân bình,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"","thương mại điện tử, thư ký, dịch vụ khách hàng, hành chính","6,6 tr - 8,1 tr vnd",6.6,8.1,vnd,2026-01-16T22:05:28.000Z,JOB_CREATED
giám đốc kinh doanh bất động sản,nhân viên chính thức,giám đốc,hải phòng,3 - 5 năm,"giám đốc kinh doanh bất động sản, sales director",bất động sản,50 tr - 60 tr vnd,50.0,60.0,vnd,2026-01-16T22:05:28.000Z,JOB_CREATED
nhân viên kinh doanh thị trường,nhân viên chính thức,nhân viên,hà nội,2 - 3 năm,"hàng tiêu dùng, sale, nhân viên kinh doanh, fmcg","tư vấn, bán sỉ, bán lẻ, kinh doanh, bán hàng",10 tr - 17 tr vnd,10.0,17.0,vnd,2026-01-16T22:05:30.000Z,JOB_CREATED
chuyên viên kinh doanh logistic express,nhân viên chính thức,nhân viên,vĩnh phúc,lên đến 1 năm,"","kinh doanh, bán hàng",10 tr - 40 tr vnd,10.0,40.0,vnd,2026-01-16T22:05:33.000Z,JOB_CREATED
116114 mechanical design engineer water treatment,nhân viên chính thức,nhân viên,hồ chí minh,3 - 7 năm,"nhân viên phòng khai thác phát triển mẫu, nhân viên cad 3d, họa viên, mechanical design engineer water treatment, web designer, formwork specialist, designer, trợ lý chế tạo khuôn mẫu, exterior, nhân viên thiết kế khuôn mẫu ngành nhựa, nhân viên thiết kế","cơ khí, tự động hóa, ô tô, vận hành sản xuất, sản xuất",25 tr - 27 tr vnd,25.0,27.0,vnd,2026-01-16T22:05:34.000Z,JOB_CREATED
chuyên viên tập sự khách hàng cá nhân phòng giao dịch lạch tray cn hải phòng,nhân viên chính thức,nhân viên,hải phòng,không yêu cầu,chuyên viên tập sự khách hàng cá nhân cn. hải phòng cnlt.,"ngân hàng, đầu tư, kinh doanh, bán hàng, tài chính",9 tr - 35 tr vnd,9.0,35.0,vnd,2026-01-16T22:05:35.000Z,JOB_CREATED
trưởng phòng xuất nhập khẩu quan hệ quốc tế,nhân viên chính thức,quản lý,hà nội,trên 5 năm,"","dệt may, xuất nhập khẩu, da giày, thời trang",40 tr - 55 tr vnd,40.0,55.0,vnd,2026-01-16T22:05:36.000Z,JOB_CREATED
overseas content marketing,nhân viên chính thức,nhân viên,hồ chí minh,2 - 4 năm,"content, marketing, english","chăm sóc cá nhân, kinh doanh, bán hàng, dịch vụ khách hàng, hàng gia dụng",12 tr - 19 tr vnd,12.0,19.0,vnd,2026-01-16T22:05:38.000Z,JOB_CREATED
kế toán viên,nhân viên chính thức,nhân viên,hồ chí minh,3 - 4 năm,"","kế toán, kiểm toán, xây dựng",12 tr - 17 tr vnd,12.0,17.0,vnd,2026-01-16T22:05:39.000Z,JOB_CREATED
nhân viên đấu thầu,nhân viên chính thức,nhân viên,hồ chí minh,trên 2 năm,"",xây dựng,15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:05:41.000Z,JOB_CREATED
nhân viên phòng chăm sóc khách hàng ngân hàng quân đội mb cát linh đống đa,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,nhân viên phòng chăm sóc khách hàng ngân hàng quân đội mb cát linh đống đa,"kinh doanh, bán hàng, ngân hàng",7 tr - 9 tr vnd,7.0,9.0,vnd,2026-01-16T22:05:43.000Z,JOB_CREATED
nhân viên phát triển sản phẩm,nhân viên chính thức,nhân viên,long an,1 - 2 năm,"research and development assistant, chuyên viên nghiên cứu và phát triển, trợ lý nghiên cứu và phát triển, research and development officer, r d staff, nhân viên phát triển sản phẩm, r & d specialist, reasearch assistant, development assistant, chuyên viên r & d, research and development specialist","thực phẩm & đồ uống, vận hành sản xuất, sản xuất",10 tr - 12 tr vnd,10.0,12.0,vnd,2026-01-16T22:05:46.000Z,JOB_CREATED
nhân viên kỹ thuật,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"nhân viên kỹ thuật thiết kế rập tiếng trung, kỹ thuật viên, technician","dệt may, da giày, biên phiên dịch, thời trang",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:05:48.000Z,JOB_CREATED
kế toán kho,nhân viên chính thức,nhân viên,đắk lắk,3 - 4 năm,"","kế toán, kiểm toán",7 tr - 10 tr vnd,7.0,10.0,vnd,2026-01-16T22:05:50.000Z,JOB_CREATED
chuyên viên ub phòng giao dịch yên lạc cn vĩnh phúc,nhân viên chính thức,nhân viên,vĩnh phúc,không yêu cầu,chuyên viên ub cn. vĩnh phúc cnlt.,"ngân hàng, đầu tư, kinh doanh, bán hàng, tài chính",10 tr - 35 tr vnd,10.0,35.0,vnd,2026-01-16T22:05:51.000Z,JOB_CREATED
chuyên viên marketing,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,"marketing executive, marketingstrategy, digitalmarketing, chuyên viên marketing, nhân viên marketing, marketer","tiếp thị, marketing, giáo dục, đào tạo",12 tr - 15 tr vnd,12.0,15.0,vnd,2026-01-16T22:05:54.000Z,JOB_CREATED
nhân viên kỹ thuật biết hàn laser sửa chữa khuôn nhựa kcn nội bài,nhân viên chính thức,nhân viên,hà nội,1 - 2 năm,nhân viên kỹ thuật biết hàn laser sửa chữa khuôn nhựa kcn nội bài upto triệu,"ô tô, cơ khí, tự động hóa",9 tr - 12 tr vnd,9.0,12.0,vnd,2026-01-16T22:05:56.000Z,JOB_CREATED
nhân viên quay dựng video,"nhân viên chính thức, bán thời gian, thời vụ, nghề tự do",nhân viên,bình phước,không yêu cầu,"accountant and administrative staff, chuyên viên kế toán chuyên quản, nhân viên quay dựng video, credit accountant, accounting executive, accountant cum office admin, nhân viên kế toán vật tư, nhân viên kế toán nhà máy, nhân viên phòng kế toán, kế toán kho vận, cán bộ tài chính kế toán","giải trí, đối ngoại, truyền thông, quảng cáo",8 tr - 15 tr vnd,8.0,15.0,vnd,2026-01-16T22:05:57.000Z,JOB_CREATED
