job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
manufacturing engineer,nhân viên chính thức,quản lý,bắc ninh,1 - 5 năm,"mechanical, production engineer, nhân viên sản xuất, kỹ sư sản xuất, manufacturing engineer electrical","điện, cơ khí, điện tử, điện lạnh, tự động hóa, điện công nghiệp, ô tô, vận hành sản xuất, sản xuất",10 tr - 25 tr vnd,10.0,25.0,vnd,2026-01-16T22:08:16.000Z,JOB_CREATED
nhân viên thủ kho,nhân viên chính thức,nhân viên,lạng sơn,1 - 2 năm,"warehouse assistant, kiêm giao nhận bốc xếp hàng hóa, nhân viên thủ kho cửa khẩu đồng đăng lạng sơn, warehouse staff, nhân viên kho, warehouseman, nhân viên phụ kho, nhân viên phụ trách kho, nhân viên hành chính kho","thư ký, kế toán, hành chính, kiểm toán, giao nhận, vận chuyển, kho vận","7,5 tr - 8,5 tr vnd",7.5,8.5,vnd,2026-01-16T22:08:18.000Z,JOB_CREATED
giám sát thi công nội thất,nhân viên chính thức,"trưởng nhóm , giám sát",hồ chí minh,trên 1 năm,"","kiến trúc, nội ngoại thất, xây dựng",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:08:19.000Z,JOB_CREATED
kỹ sư điện nước và phòng cháy chữa cháy,nhân viên chính thức,nhân viên,hồ chí minh,trên 5 năm,"fire safety, cán bộ pccc, fire fighter, lính cứu hỏa, kỹ sư điện nước và phòng cháy chữa cháy, nhân viên pccc","kiến trúc, bất động sản, xây dựng",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:08:20.000Z,JOB_CREATED
nhân viên seo thủ đức,nhân viên chính thức,nhân viên,hồ chí minh,1 - 3 năm,"marketer, marketing executive, nhân viên seo thủ đức, chuyên viên pr marketing, chuyên viên social media, chuyên viên marketing online, nhân viên marketing online, online marketing executive, marketing operations officer, nhân viên marketing, marketing specialist","truyền hình, marketing, biên tập, truyền thông, đối ngoại, quảng cáo, tiếp thị, báo chí",13 tr - 17 tr vnd,13.0,17.0,vnd,2026-01-16T22:08:22.000Z,JOB_CREATED
chuyên viên content marketing,nhân viên chính thức,nhân viên,hồ chí minh,trên 2 năm,"","marketing, truyền thông, đối ngoại, quảng cáo, tiếp thị",13 tr - 20 tr vnd,13.0,20.0,vnd,2026-01-16T22:08:22.000Z,JOB_CREATED
kỹ sư shopdrawing,nhân viên chính thức,nhân viên,đồng nai,không yêu cầu,", kỹ sư xây dựng, kỹ sư shop drawing, kỹ sư, kiến trúc sư","kiến trúc, xây dựng",11 tr - 25 tr vnd,11.0,25.0,vnd,2026-01-16T22:08:24.000Z,JOB_CREATED
bắc ninh nhân viên kinh doanh bán hàng trực tiếp,nhân viên chính thức,nhân viên,bắc ninh,không yêu cầu,"sales executive, nhân viên phòng kinh doanh, chuyên viên kinh doanh, bắc ninh nhân viên kinh doanh bán hàng trực tiếp, đại diện bán hàng, đại diện kinh doanh, sales engineer, sales dept, telesales, salesman, nhân viên bán hàng","kinh doanh, bán hàng",10 tr - 14 tr vnd,10.0,14.0,vnd,2026-01-16T22:08:26.000Z,JOB_CREATED
nhân viên tư vấn trả góp,nhân viên chính thức,nhân viên,hà tĩnh,không yêu cầu,"consultant executive, chuyên viên tư vấn, tư vấn viên, consultant, nhân viên tư vấn trả góp, counsellor","kinh doanh, bán hàng, tư vấn, dịch vụ khách hàng",8 tr - 15 tr vnd,8.0,15.0,vnd,2026-01-16T22:08:28.000Z,JOB_CREATED
trưởng nhóm kinh doanh logistics hàng nhập,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,2 - 3 năm,"sales logistics manager, sales leader, sales logistics team leader, trưởng nhóm kinh doanh logistics hàng nhập, logistics manager",xuất nhập khẩu,15 tr - 30 tr vnd,15.0,30.0,vnd,2026-01-16T22:08:29.000Z,JOB_CREATED
trưởng bưu cục,nhân viên chính thức,quản lý,hà nội,1 - 2 năm,"",bưu chính viễn thông,10 tr - 25 tr vnd,10.0,25.0,vnd,2026-01-16T22:08:31.000Z,JOB_CREATED
chuyên viên đào tạo,nhân viên chính thức,nhân viên,hà nội,5 - 7 năm,"teacher, trainer, giáo viên, huấn luyện viên, chuyên viên huấn luyện","giáo dục, đào tạo, ngân hàng, chứng khoán",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:08:33.000Z,JOB_CREATED
tuyển gấp leader content da liễu viện thẩm mỹ y khoa dr hải lê,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,1 - 2 năm,"","truyền hình, marketing, biên tập, y tế, thẩm mỹ, làm đẹp, tiếp thị, chăm sóc sức khỏe, báo chí",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:08:35.000Z,JOB_CREATED
business development assistant manager,nhân viên chính thức,"trưởng nhóm , giám sát",hồ chí minh,2 - 3 năm,"reasearch assistant, business development assistant manager, research and, trợ lý nghiên cứu và phát triển","ngành khác, khách sạn, nhà hàng, cntt - phần mềm",600 - 800 usd,15.0,20.0,usd,2026-01-16T22:08:36.000Z,JOB_CREATED
chuyên viên tư vấn giáo dục ocean edu lương tài thu nhập từ 13 triệu trở lên phỏng vấn đi làm ngay,nhân viên chính thức,nhân viên,bắc ninh,không yêu cầu,chuyên viên tư vấn giáo dục ocean edu lương tài thu nhập từ triệu trở lên phỏng vấn đi làm ngay,"kinh doanh, bán hàng, tư vấn, dịch vụ khách hàng",13 tr - 14 tr vnd,13.0,14.0,vnd,2026-01-16T22:08:38.000Z,JOB_CREATED
trợ lý tổng giám đốc,nhân viên chính thức,nhân viên,hà nội,2 - 4 năm,"kiêm nhân viên hành chính văn phòng, trợ lý phó tổng giám đốc sản xuất cung ứng, trợ lý giám đốc, trợ lý tổng giám đốc, trợ lý phó giám đốc, assistant director, assistant manager","bán sỉ, bán lẻ","800 - 1,200 usd",20.0,30.0,usd,2026-01-16T22:08:39.000Z,JOB_CREATED
nhân viên kế toán,nhân viên chính thức,nhân viên,hồ chí minh,trên 1 năm,accountant,"kế toán, kiểm toán, xây dựng",trên 8 tr vnd,8.0,0.0,vnd,2026-01-16T22:08:42.000Z,JOB_CREATED
chuyên viên kinh doanh sale tiếng trung,nhân viên chính thức,nhân viên,hà nội,1 - 3 năm,"","kinh doanh, bán hàng, biên phiên dịch",20 tr - 25 tr vnd,20.0,25.0,vnd,2026-01-16T22:08:43.000Z,JOB_CREATED
nv biên tập nội dung,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,"","truyền hình, truyền thông, biên tập, đối ngoại, quảng cáo, báo chí",13 tr - 13 tr vnd,13.0,13.0,vnd,2026-01-16T22:08:44.000Z,JOB_CREATED
sale engineer long an vũng tàu,nhân viên chính thức,nhân viên,long an,lên đến 2 năm,"tư vấn kinh doanh, đại diện bán hàng, đại diện kinh doanh, tư vấn bán hàng, sales representative, nvkd, nhân viên kinh doanh, sale engineer nhân viên bán hàng kỹ thuật long an vũng tàu, salesman, bán hàng","cơ khí, bán sỉ, bán lẻ, tự động hóa, kinh doanh, ô tô, bán hàng",11 tr - 20 tr vnd,11.0,20.0,vnd,2026-01-16T22:08:46.000Z,JOB_CREATED
nhân viên kinh doanh b2b,nhân viên chính thức,nhân viên,hà nội,1 - 2 năm,"sales executive, nhân viên phòng kinh doanh, chuyên viên kinh doanh, đại diện bán hàng, đại diện kinh doanh, nhân viên kinh doanh bb, sales engineer, sales dept, telesales, salesman, nhân viên bán hàng","marketing, bán sỉ, bán lẻ, kinh doanh, tiếp thị, bán hàng",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:08:48.000Z,JOB_CREATED
chuyên viên trade marketing,nhân viên chính thức,nhân viên,hà nội,2 - 3 năm,"đại diện kinh doanh thương mại, trade marketing staff, trade marketing coordinator, chuyên viên marketing thương hiệu, trade marketing executive, trade marketing officer, chuyên viên nhận diện thương hiệu, nhân viên phát triển thương hiệu, chuyên viên trade marketing, chuyên viên tiếp thị thương mại","marketing, truyền thông, đối ngoại, quảng cáo, tiếp thị trực tuyến, tiếp thị",18 tr - 30 tr vnd,18.0,30.0,vnd,2026-01-16T22:08:49.000Z,JOB_CREATED
color matching engineer id25747,nhân viên chính thức,nhân viên,hồ chí minh,trên 2 năm,"","dược phẩm, hóa học, điện, điện tử, hóa mỹ phẩm, điện lạnh, điện công nghiệp",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:08:51.000Z,JOB_CREATED
sales engineer nhân viên bán hàng lương từ 20tr đến 40tr,nhân viên chính thức,nhân viên,hà nội,2 - 5 năm,"tư vấn kinh doanh, kỹ sư kinh doanh, đại diện bán hàng, nhân viên bán hàng, sales representative, nvkd, nhân viên kinh doanh, salesman, bán hàng, sales engineer","bán sỉ, bán lẻ, kinh doanh, bán hàng, vận hành sản xuất, sản xuất",20 tr - 40 tr vnd,20.0,40.0,vnd,2026-01-16T22:08:52.000Z,JOB_CREATED
kỹ sư hiện trường,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,"",xây dựng,9 tr - 14 tr vnd,9.0,14.0,vnd,2026-01-16T22:08:53.000Z,JOB_CREATED
nhân viên xuất nhập khẩu,nhân viên chính thức,nhân viên,long an,1 - 3 năm,"nhân viên chứng từ, nhân viên xuất nhập khẩu, export import assistant, nhân viên kho, kế toán kho, kế toán kho vận","kế toán, điện, kiểm toán, điện tử, điện lạnh, xuất nhập khẩu, điện công nghiệp",10 tr - 12 tr vnd,10.0,12.0,vnd,2026-01-16T22:08:54.000Z,JOB_CREATED
nhân viên kinh doanh tư vấn tuyển sinh,nhân viên chính thức,nhân viên,đà nẵng,1 - 2 năm,"sales executive, nhân viên phòng kinh doanh, nhân viên tư vấn tuyển sinh, educational consultant, đại diện kinh doanh, nhân viên chăm sóc khách hàng, sales dept, nhân viên kinh doanh, telesales, nhân viên bán hàng","marketing, ngành khác, kinh doanh, tiếp thị, bán hàng",8 tr - 12 tr vnd,8.0,12.0,vnd,2026-01-16T22:08:54.000Z,JOB_CREATED
digital marketing,nhân viên chính thức,nhân viên,hà nội,trên 2 năm,"online, digital marketing, social media","tiếp thị, marketing, xây dựng, kiến trúc",trên 10 tr vnd,10.0,0.0,vnd,2026-01-16T22:08:55.000Z,JOB_CREATED
đại diện kinh doanh,nhân viên chính thức,nhân viên,bình định,không yêu cầu,"salesman, saler, sales representative, đại diện bán hàng","marketing, bán sỉ, bán lẻ, kinh doanh, tiếp thị, bán hàng",11 tr - 20 tr vnd,11.0,20.0,vnd,2026-01-16T22:08:57.000Z,JOB_CREATED
business investment staff,nhân viên chính thức,nhân viên,hà nội,5 - 10 năm,"business development officer, xuất nhập khẩu thái dương, business development specialist, investment specialist, chuyên viên phát triển, business development executive","ngân hàng, đầu tư, kinh doanh, bán hàng, tài chính",30 tr - 40 tr vnd,30.0,40.0,vnd,2026-01-16T22:08:59.000Z,JOB_CREATED
